page,reviewer_name,reviews_count,review_text,star_rating,review_date
1,Regis H. NKUNDIMANA,1,"⭐⭐⭐⭐⭐Excellent support and a smooth onboarding experience. The Flutterwave team was responsive, professional, and very helpful throughout the verification process. Clear guidance and timely assistance made everything easy. Highly recommended!",5,16 hours ago
1,Adigun Bunmi,1,"I most confess, I was wow by Flutterwave customer service for quick response to my email, I bought electric token and no token was released, I sent mail, message to the supplier but to no avail. Immediate I contacted Flutterwave, they responded in a jiffy and the token was released after they contacted the supplier.",5,A day ago
1,Ajileye Olawale,1,Superb customer service experience,5,3 days ago
1,Bismark Antwi Social life,1,I like their customer care.,5,3 days ago
1,Xusilent,2,Flutterwave has been good for my business so far no doubt keep up the great work just the only problem is the onboarding/verification process can be exhausting lol which is normal for proper kyc but overall looks good,5,6 days ago
1,Kyomukama Vicent,2,I was helped from the moment I raised an issue until it was resolved. The customer support team is awesome 👌,5,"Jan 2, 2026"
1,Tamrole Co. Nig Ltd,1,"Flutterwave has an outstanding support team. They guided me through the problems, working tirelessly around the clock. It's clear they are highly motivated. Excellent company, excellent product, and excellent customer service.",5,"Jan 2, 2026"
1,Peter Asante Addo,1,"I am generally satisfied with customer relations, feedbacks and assistance.",5,"Jan 2, 2026"
1,OLISAELOKA DIKE OKEKE,2,"I must confess that I was wowed by Flutterwave Customer service response and follow up. I've used some other payment gateways, but must confess that their customer service is exceptional. There manner of approach too is commendable. They are quite doing a very good job.",5,"Dec 30, 2025"
1,Abdul-Hafees Tijani,1,A good experience all together even though it took close to 2 weeks to close out. I appreciate the communication all through the experience.,4,"Dec 30, 2025"
1,El Tigre Mbaike,2,The best. Better than Paystack,5,"Dec 25, 2025"
1,Iman Isyaku,1,,4,"Dec 22, 2025"
1,Michael Rich,1,"Great support team, timely responses and high level of professionality in all conversations.",5,"Dec 22, 2025"
1,Ayo Olatunji,1,I am thrilled by the response time and the customer service is great. It's a 10/10 score from me.,5,"Dec 18, 2025"
1,abdur-rahman odusote,1,"The customer service is top-notch, with constant messages and calls to ensure both client satisfaction and issue resolution simultaneously. I think that's the least i can describe their service",5,"Dec 16, 2025"
1,Odiachi Daniel,2,"Very slow Resolution of Cross Border Payment DelaysThe system is usually fast but with a 60 to 70% success rate for cross border transactions.The moment your transaction pends for more than two minutes, forget it, it might reach its final status the upper week and then their customer support will keep promising a 48hour resolution window.Not good for a B2C at all",2,"Dec 15, 2025"
1,Innocent Emmanuel,1,I like their customer support team they are swift and prompt in responding. Mary who attended to me followed through until everything was resolved. Keep it up flutterwave continue to make life easier for businesses. Even now I can receive my payments seamlessly.,5,"Dec 12, 2025"
1,Cynthia Ojimadu,6,I like their customer support team they are swift and prompt in responding. Mary who attended to me followed through until everything was resolved. Keep it up flutterwave continue to make life easier for businesses. Even now I can receive my payments seamlessly.,5,"Dec 11, 2025"
1,Nura Umar Inuwa,6,"Excellent service, good experience.Please keep it up 👍👍👍",5,"Dec 10, 2025"
1,Perfection Imonikhe,1,Great experience but I will like them to work on the settlement cause it takes to much days,4,"Dec 6, 2025"
2,Jacob Bioko,1,"The prompt response, professionalism and kind response of the customer support from flutterwave is top notch. I will be honest I have never enjoyed a customer support any where, not even in physical banks, the way I enjoyed the support from flutterwave, they are fast in response and if there be any delays they do apologize and solve the problem. One thing I love about them is that they will always respond. And this is not the only time I have encountered the customer support and I will be glad to give them a 10/5, i am truly impressed and grateful for their services",5,"Dec 6, 2025"
2,Diamond Connect,1,"If I'm to sum the support team in few words, it will be; dedicated, polite and understanding. They ensured there was a constant communication and feedback to get the issue solved. The communication and level of politeness made me know they were solving the problem and is in control of it. That made me trust them and was ensured they were in control and have the capacity to solve it. I've used companies in Nigeria but this is the best support team.",5,"Nov 29, 2025"
2,George Florence,1,"After a long review for about 3 weeks and  my account is now fully active and live for payment flexibility our audience , both old and new ones.  Customer service was great both call and email. I appreciate and thanks",4,"Nov 28, 2025"
2,Oluwole,1,"I have never experienced a wonderful service like the flutterwave before. Since I reached out to them, they have been on top of the issue 24/7.",5,"Nov 27, 2025"
